linkfield_id	fid_label	cFieldName	cComputedField	cFieldFilter	cVolgorde	bInList	iOrderAsc	iOrderDesc	cFieldType	iFieldLength	fid_LinkedLabel	bUseAsPanelVisibility	iListFieldWidth	cListColHeader	fid_ListLabel	cisd_listfieldid	fid_ListLinkedLabel
7251	773	fid_DefaultContact	NULL	NULL	017	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7302	1057	cShowColumnOnReport	NULL	NULL	006	NULL	NULL	NULL	varchar	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8270	890	fTotalCbm	NULL	NULL	026	1	NULL	NULL	float	8	NULL	NULL	4	CBM	NULL	NULL	NULL
8271	669	bInternalDestination	NULL	NULL	035	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8454	772	Company	NULL	@UserCompany@	004	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8455	773	Company	NULL	@UserCompany@	004	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8628	887	Company	NULL	@UserCompany@	029	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8677	774	Company	NULL	@UserCompany@	004	NULL	NULL	NULL	varchar	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8722	890	bScheduleDeleted	NULL	NULL	028	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8725	669	bImoNotAllowed	NULL	NULL	036	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8726	669	fid_ImportVia	NULL	NULL	037	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8727	669	iTransitTimeImport	NULL	NULL	038	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8728	669	iTransitTimeImportAnt	NULL	NULL	039	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8729	1077	bGCAcontract	NULL	NULL	014	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9395	888	bDeleted	NULL	0	028	NULL	NULL	NULL	bit	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9507	890	PortRegulations	NULL	NULL	030	NULL	NULL	NULL	varchar	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9752	2210	iGenAddressId	NULL	NULL	000	1	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9753	2210	fid_relation	NULL	NULL	001	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9754	2210	fid_AddressTypeId	NULL	1	002	NULL	NULL	NULL	int	4	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9755	2210	cPhoneNr	NULL	NULL	003	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9756	2210	cFaxNr	NULL	NULL	004	NULL	NULL	NULL	varchar	20	NULL	NULL	NULL	NULL	NULL	NULL	NULL
